flow_id,src_ip,dst_ip,device_type,label,s1_confidence,s2_confidence,suspicion_score,latency_ms,alerted,timestamp
162.159.134.234:443<->192.168.100.151:64133/6,162.159.134.234,192.168.100.151,noniot,benign,0.64,0.0,0.0,19.77,False,1777718928.936451
192.168.100.151:52760<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0093,0.0,18.27,False,1777718928.936451
192.168.100.151:62283<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.56,0.0093,0.0,17.19,False,1777718928.936451
192.168.100.151:58380<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0093,0.0,14.03,False,1777718928.936451
192.168.100.151:64487<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.58,0.0093,0.0,15.04,False,1777718928.936451
172.66.0.227:443<->192.168.100.151:49196/6,172.66.0.227,192.168.100.151,noniot,benign,0.63,0.0,0.0,19.33,False,1777718933.9502652
192.168.100.151:42483<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.58,0.0001,0.0,17.26,False,1777718933.9502652
192.168.100.151:10898<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0001,0.0,15.93,False,1777718933.9502652
192.168.100.151:64847<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0001,0.0,15.31,False,1777718933.9502652
192.168.100.151:49483<->54.187.119.242:443/6,192.168.100.151,54.187.119.242,noniot,benign,0.76,0.0,0.0,15.18,False,1777718933.9502652
192.168.100.151:61625<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0001,0.0,14.64,False,1777718933.9502652
192.168.100.151:42342<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.6,0.0001,0.0,14.76,False,1777718933.9502652
192.168.100.151:20122<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0001,0.0,14.88,False,1777718933.9502652
192.168.100.151:53894<->52.85.110.20:443/17,192.168.100.151,52.85.110.20,noniot,benign,0.61,0.0,0.0,12.61,False,1777718933.9502652
192.168.100.151:42246<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0,0.0,14.8,False,1777718933.9502652
192.168.100.151:2183<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.54,0.0,0.0,14.57,False,1777718933.9502652
192.168.100.151:8344<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.59,0.0,0.0,14.56,False,1777718933.9502652
13.89.179.9:443<->192.168.100.151:49282/6,13.89.179.9,192.168.100.151,noniot,benign,0.65,0.0,0.0,19.26,False,1777718938.951489
18.97.36.66:443<->192.168.100.151:64903/6,18.97.36.66,192.168.100.151,noniot,benign,0.54,0.0,0.0,18.19,False,1777718938.951489
192.168.100.151:55720<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0002,0.0,16.59,False,1777718938.951489
192.168.100.151:41008<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.56,0.0002,0.0,15.54,False,1777718938.951489
192.168.100.151:1147<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.5,0.0002,0.0,13.11,False,1777718938.951489
192.168.100.150:62078<->192.168.100.151:49490/6,192.168.100.150,192.168.100.151,iot,benign,0.67,0.0016,1.5,19.45,False,1777718941.327049
140.82.113.25:443<->192.168.100.151:49267/6,140.82.113.25,192.168.100.151,noniot,benign,0.55,0.0,0.0,21.48,False,1777718948.956501
18.97.36.75:443<->192.168.100.151:65296/6,18.97.36.75,192.168.100.151,noniot,benign,0.61,0.0,0.0,17.0,False,1777718948.956501
192.168.100.151:52112<->34.0.88.7:50005/17,192.168.100.151,34.0.88.7,noniot,benign,0.69,0.0,0.0,17.86,False,1777718953.960072
104.29.148.119:19326<->192.168.100.151:52567/17,104.29.148.119,192.168.100.151,noniot,benign,0.79,0.006,0.0,17.37,False,1777718953.960072
192.168.100.9:5353<->224.0.0.251:5353/17,192.168.100.9,224.0.0.251,noniot,benign,0.64,0.0,0.0,15.17,False,1777718953.960072
192.168.100.17:5353<->224.0.0.251:5353/17,192.168.100.17,224.0.0.251,noniot,benign,0.57,0.0,0.0,21.23,False,1777718953.960072
140.82.113.25:443<->192.168.100.151:49205/6,140.82.113.25,192.168.100.151,noniot,benign,0.61,0.0,0.0,15.15,False,1777718958.9634728
18.97.36.75:443<->192.168.100.151:65294/6,18.97.36.75,192.168.100.151,noniot,benign,0.65,0.0,0.0,17.64,False,1777718963.9638941
192.168.100.150:5353<->192.168.100.151:5353/17,192.168.100.150,192.168.100.151,noniot,benign,0.73,0.0,0.0,16.81,False,1777718973.967459
192.168.100.150:5353<->224.0.0.251:5353/17,192.168.100.150,224.0.0.251,noniot,benign,0.53,0.0,0.0,16.23,False,1777718973.967459
192.168.100.151:49493<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.68,0.0,0.0,16.01,False,1777718974.044287
192.168.100.151:49493<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.54,0.0,2.0,18.44,False,1777718974.044761
18.97.36.66:443<->192.168.100.151:64903/6,18.97.36.66,192.168.100.151,noniot,benign,0.58,0.0,0.0,20.15,False,1777718983.975949
192.168.100.151:49491<->54.187.119.242:443/6,192.168.100.151,54.187.119.242,noniot,benign,0.72,0.0,0.0,16.7,False,1777718988.978305
172.66.0.227:443<->192.168.100.151:49196/6,172.66.0.227,192.168.100.151,noniot,benign,0.67,0.0,0.0,19.43,False,1777718993.9858859
192.168.100.151:31856<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.57,0.0,0.0,18.5,False,1777718993.9858859
192.168.100.151:47371<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.52,0.0086,0.0,17.54,False,1777718993.9858859
192.168.100.151:9393<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0,0.0,17.05,False,1777718993.9858859
192.168.100.151:62806<->52.85.110.20:443/17,192.168.100.151,52.85.110.20,noniot,benign,0.59,0.0,0.0,16.28,False,1777718993.9858859
192.168.100.151:52501<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.58,0.0,0.0,21.66,False,1777718998.995698
192.168.100.151:11702<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.57,0.0,0.0,17.84,False,1777718998.995698
192.168.100.151:40813<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.55,0.0,0.0,15.87,False,1777718998.995698
140.82.114.21:443<->192.168.100.151:49477/6,140.82.114.21,192.168.100.151,noniot,benign,0.55,0.0,0.0,16.86,False,1777719003.675872
140.82.114.21:443<->192.168.100.151:49477/6,140.82.114.21,192.168.100.151,iot,botnet,0.54,0.6582,3.5,15.68,False,1777719003.830994
18.97.36.75:443<->192.168.100.151:65296/6,18.97.36.75,192.168.100.151,noniot,benign,0.57,0.0,0.0,19.79,False,1777719003.997888
192.168.100.151:63281<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.55,0.0,0.0,14.66,False,1777719003.997888
192.168.100.151:58668<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.54,0.0,0.0,14.75,False,1777719003.997888
192.168.100.151:62692<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.55,0.0,0.0,15.03,False,1777719003.997888
192.168.100.151:49901<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0,0.0,15.03,False,1777719003.997888
192.168.100.151:49498<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.66,0.0,0.0,20.27,False,1777719006.81827
192.168.100.151:49498<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.53,0.0,1.5,17.76,False,1777719006.819974
140.82.113.25:443<->192.168.100.151:49267/6,140.82.113.25,192.168.100.151,noniot,benign,0.55,0.0,0.0,19.91,False,1777719009.000837
18.97.36.75:443<->192.168.100.151:65294/6,18.97.36.75,192.168.100.151,noniot,benign,0.64,0.0,0.0,18.04,False,1777719009.000837
192.168.100.151:49493<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.56,0.0,0.0,16.84,False,1777719009.000837
192.168.100.151:36849<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.58,0.0006,0.0,15.56,False,1777719009.000837
192.168.100.151:27449<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.56,0.0006,0.0,15.93,False,1777719009.000837
192.168.100.151:64756<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0006,0.0,15.93,False,1777719009.000837
192.168.100.150:62078<->192.168.100.151:49501/6,192.168.100.150,192.168.100.151,iot,benign,0.68,0.0002,1.5,16.05,False,1777719009.93162
192.168.100.151:50168<->34.0.88.7:50005/17,192.168.100.151,34.0.88.7,noniot,benign,0.68,0.0,0.0,19.73,False,1777719014.0118191
104.29.148.119:19326<->192.168.100.151:63423/17,104.29.148.119,192.168.100.151,noniot,benign,0.78,0.0065,0.0,16.45,False,1777719014.0118191
140.82.113.25:443<->192.168.100.151:49205/6,140.82.113.25,192.168.100.151,noniot,benign,0.55,0.0,0.0,20.13,False,1777719019.016514
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.55,0.0,0.0,25.49,False,1777719025.634821
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.55,0.0,1.5,16.61,False,1777719025.638946
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.64,0.0,4.0,18.21,False,1777719025.709643
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.57,0.0,4.0,14.58,False,1777719025.709791
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.63,0.0,4.0,14.54,False,1777719025.751741
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,4.0,15.43,False,1777719025.751742
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.57,0.0,4.0,15.5,False,1777719025.75186
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,4.0,14.25,False,1777719025.825543
192.168.100.151:49502<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0001,4.0,15.48,False,1777719025.849473
192.168.100.151:49503<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.71,0.0,0.0,16.54,False,1777719028.031221
192.168.100.151:49503<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.61,0.0,1.5,14.84,False,1777719028.041178
192.168.100.151:49504<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.73,0.0,0.0,19.44,False,1777719028.372435
192.168.100.151:49504<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.58,0.0,4.0,16.91,False,1777719028.374423
192.168.100.151:49504<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,4.0,16.55,False,1777719028.410417
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.73,0.0,0.0,15.39,False,1777719028.519351
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.63,0.0,4.0,13.56,False,1777719028.519436
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.64,0.0,4.0,17.04,False,1777719028.561287
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,4.0,16.77,False,1777719028.600758
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,4.0,16.25,False,1777719028.600765
192.168.100.151:49505<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,4.0,15.03,False,1777719028.600766
192.168.100.151:49507<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.71,0.0,0.0,18.4,False,1777719028.931476
192.168.100.151:49507<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.58,0.0,4.0,17.0,False,1777719028.933063
192.168.100.151:49507<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,4.0,20.62,False,1777719029.322013
192.168.100.151:49507<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,4.0,18.71,False,1777719029.386491
192.168.100.151:49508<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.58,0.0,0.0,17.01,False,1777719029.387247
192.168.100.151:49508<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.64,0.0,4.0,15.93,False,1777719029.406009
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.78,0.0,0.0,15.22,False,1777719029.40603
192.168.100.151:49508<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,iot,benign,0.54,0.001,4.0,15.95,False,1777719029.4062
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.59,0.0,2.0,15.99,False,1777719029.408432
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.64,0.0,5.5,15.44,False,1777719029.472103
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,iot,benign,0.52,0.0005,5.5,15.41,False,1777719029.472201
192.168.100.151:49508<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.64,0.0,5.5,17.2,False,1777719029.56768
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,iot,benign,0.58,0.0014,5.5,16.77,False,1777719029.691374
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,5.5,14.83,False,1777719029.693241
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0001,5.5,15.75,False,1777719029.695193
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,5.5,17.21,False,1777719029.695194
192.168.100.151:49509<->20.233.83.146:443/6,192.168.100.151,20.233.83.146,noniot,benign,0.65,0.0,5.5,16.44,False,1777719029.726199
192.168.100.151:49508<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,iot,benign,0.61,0.0012,5.5,15.48,False,1777719029.762713
140.82.113.21:443<->192.168.100.151:49510/6,140.82.113.21,192.168.100.151,noniot,benign,0.6,0.0,0.0,14.92,False,1777719029.810616
140.82.113.21:443<->192.168.100.151:49510/6,140.82.113.21,192.168.100.151,noniot,benign,0.64,0.0,1.5,15.39,False,1777719029.818552
140.82.113.21:443<->192.168.100.151:49510/6,140.82.113.21,192.168.100.151,noniot,benign,0.53,0.0,5.5,15.83,False,1777719029.965355
140.82.113.21:443<->192.168.100.151:49510/6,140.82.113.21,192.168.100.151,noniot,benign,0.53,0.0,5.5,15.42,False,1777719029.96536
140.82.113.21:443<->192.168.100.151:49511/6,140.82.113.21,192.168.100.151,iot,botnet,0.61,0.9516,0.0,17.54,True,1777719030.095066
140.82.113.21:443<->192.168.100.151:49511/6,140.82.113.21,192.168.100.151,noniot,benign,0.69,0.0,3.5,16.65,False,1777719030.096972
140.82.113.21:443<->192.168.100.151:49511/6,140.82.113.21,192.168.100.151,iot,botnet,0.51,0.927,5.5,17.71,False,1777719030.275488
140.82.113.21:443<->192.168.100.151:49512/6,140.82.113.21,192.168.100.151,iot,botnet,0.54,0.9046,0.0,16.6,False,1777719030.320506
140.82.113.21:443<->192.168.100.151:49512/6,140.82.113.21,192.168.100.151,iot,botnet,0.52,0.8554,5.5,13.55,False,1777719030.322277
140.82.113.21:443<->192.168.100.151:49512/6,140.82.113.21,192.168.100.151,iot,botnet,0.51,0.8039,5.5,21.38,False,1777719030.476291
192.168.100.151:49513<->20.189.172.76:443/6,192.168.100.151,20.189.172.76,iot,benign,0.58,0.0015,1.5,20.31,False,1777719031.319908
162.159.134.233:443<->192.168.100.151:49195/6,162.159.134.233,192.168.100.151,noniot,benign,0.71,0.0,5.5,19.72,False,1777719032.373708
162.159.134.233:443<->192.168.100.151:49195/6,162.159.134.233,192.168.100.151,noniot,benign,0.66,0.0,3.5,18.08,False,1777719032.374497
162.159.134.233:443<->192.168.100.151:49195/6,162.159.134.233,192.168.100.151,noniot,benign,0.51,0.0,5.5,17.21,False,1777719032.459308
192.168.100.151:57651<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0,1.5,23.14,False,1777719039.0313249
192.168.100.151:49498<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.54,0.0,1.5,18.18,False,1777719039.0313249
192.168.100.151:61595<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.52,0.0,1.5,16.12,False,1777719039.0313249
192.168.100.151:52630<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.51,0.0,1.5,15.34,False,1777719039.0313249
192.168.100.150:5353<->192.168.100.151:5353/17,192.168.100.150,192.168.100.151,noniot,benign,0.62,0.0,0.0,15.03,False,1777719039.0313249
140.82.113.21:443<->192.168.100.151:49515/6,140.82.113.21,192.168.100.151,noniot,benign,0.55,0.0,0.0,19.63,False,1777719040.240588
140.82.113.21:443<->192.168.100.151:49515/6,140.82.113.21,192.168.100.151,noniot,benign,0.61,0.0,5.5,17.62,False,1777719040.241664
140.82.113.21:443<->192.168.100.151:49515/6,140.82.113.21,192.168.100.151,noniot,benign,0.53,0.0001,5.5,18.26,False,1777719040.39833
140.82.113.21:443<->192.168.100.151:49516/6,140.82.113.21,192.168.100.151,iot,botnet,0.54,0.5667,0.0,19.45,False,1777719041.521376
140.82.113.21:443<->192.168.100.151:49516/6,140.82.113.21,192.168.100.151,noniot,benign,0.68,0.0,3.5,17.66,False,1777719041.522405
140.82.113.21:443<->192.168.100.151:49516/6,140.82.113.21,192.168.100.151,noniot,benign,0.54,0.0003,5.5,19.14,False,1777719041.675173
140.82.113.21:443<->192.168.100.151:49516/6,140.82.113.21,192.168.100.151,noniot,benign,0.54,0.0004,5.5,17.41,False,1777719041.675179
192.168.100.151:49491<->54.187.119.242:443/6,192.168.100.151,54.187.119.242,noniot,benign,0.79,0.0,1.5,19.68,False,1777719044.065519
192.168.100.150:5353<->224.0.0.251:5353/17,192.168.100.150,224.0.0.251,noniot,benign,0.55,0.0,0.0,14.29,False,1777719044.065519
18.97.36.75:443<->192.168.100.151:65296/6,18.97.36.75,192.168.100.151,noniot,benign,0.61,0.0,0.0,12.77,False,1777719044.065519
140.82.113.21:443<->192.168.100.151:49517/6,140.82.113.21,192.168.100.151,noniot,benign,0.54,0.0004,0.0,15.13,False,1777719045.029253
140.82.113.21:443<->192.168.100.151:49517/6,140.82.113.21,192.168.100.151,noniot,benign,0.68,0.0001,5.5,14.28,False,1777719045.029843
140.82.113.21:443<->192.168.100.151:49517/6,140.82.113.21,192.168.100.151,noniot,benign,0.53,0.0018,5.5,16.77,False,1777719045.196956
192.168.100.151:49518<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.66,0.0,1.5,16.29,False,1777719048.862504
192.168.100.151:49518<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.54,0.0,3.5,14.85,False,1777719048.863043
192.168.100.151:8870<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.52,0.0004,1.5,21.34,False,1777719049.0656729
192.168.100.151:55690<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0004,1.5,15.41,False,1777719049.0656729
192.168.100.151:47808<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.61,0.0004,1.5,15.36,False,1777719049.0656729
192.168.100.151:49519<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.58,0.0,1.5,15.43,False,1777719050.060616
192.168.100.151:49519<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.55,0.0,3.0,16.01,False,1777719050.063463
192.168.100.151:49520<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.58,0.0,1.5,17.23,False,1777719050.677121
192.168.100.151:49520<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.54,0.0,3.0,15.76,False,1777719050.685271
192.168.100.151:49520<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,5.5,16.28,False,1777719050.79271
192.168.100.151:49520<->20.250.119.64:443/6,192.168.100.151,20.250.119.64,noniot,benign,0.65,0.0,5.5,14.67,False,1777719050.793549
192.168.100.151:49521<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.7,0.0,1.5,15.04,False,1777719051.989036
192.168.100.151:49521<->20.42.65.89:443/6,192.168.100.151,20.42.65.89,noniot,benign,0.53,0.0,3.5,14.66,False,1777719051.989394
