threshold,precision,recall,f1,TP,FN,FP
0.1,0.9453688758070642,0.4889506832160878,0.644540827473479,79653,83253,4603
0.2,0.9643860839228607,0.4886990043337876,0.6486812407825371,79612,83294,2940
0.3,0.9837339039867398,0.48818336955053837,0.652540112985079,79528,83378,1315
0.4,0.9874171609036766,0.4874897179968816,0.6527269215437281,79415,83491,1012
0.5,0.9892373885390036,0.48691883662971286,0.6526115734436898,79322,83584,863
0.6,0.9929061125245967,0.48629884718794886,0.6528494847399802,79221,83685,566
0.7,0.996037491427265,0.48141873227505433,0.649103640065551,78426,84480,312
0.8,0.9972628747725655,0.3869225197353075,0.5575314779024462,63032,99874,173
0.9,0.9969689234892477,0.19181000085939132,0.32172274618014085,31247,131659,95
